codi_postal,departament,franja_edat,satisfaccio
08001,Vendes,18-30,1
08002,Vendes,18-30,2
08003,Vendes,18-30,3
08001,Vendes,18-30,4
08002,Vendes,18-30,5
08003,Vendes,18-30,6
08001,Vendes,18-30,7
08002,Vendes,18-30,8
08003,Vendes,18-30,9
08001,Vendes,18-30,10
08002,Vendes,18-30,1
08003,Vendes,18-30,2
08001,Vendes,18-30,3
08002,Vendes,18-30,4
08003,Vendes,18-30,5
08001,Suport,31-50,6
08002,Suport,31-50,7
08003,Suport,31-50,8
08001,Suport,31-50,9
08002,Suport,31-50,10
08003,Suport,31-50,1
08001,Suport,31-50,2
08002,Suport,31-50,3
08003,RRHH,51+,4
08001,RRHH,51+,5
08002,RRHH,51+,6
08003,RRHH,51+,7
08001,RRHH,51+,8
08002,Direccio,31-50,9
08003,Direccio,31-50,10
